"Story","Title","Result","Date","Stability","Duration (s)"
"Store tags test","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-06-04T13:01:28.668+01:00[Europe/London]","0.0","3.45"
"Store tags test","This test will provide an error code of 404 when user tries to access an invalid resource","SUCCESS","2023-06-04T13:01:32.221+01:00[Europe/London]","0.0","0.09"
